Dt_Customer,Dt_Customer_day,Dt_Customer_month,Dt_Customer_year,Age_Customer,Year_Birth,Education,Marital_Status,Kidhome,Teenhome,Income,Monthly_Income,Monthly_Income_Group,Recency,MntFishProducts,MntMeatProducts,MntFruits,MntSweetProducts,MntWines,MntGoldProds,NumDealsPurchases,NumCatalogPurchases,NumStorePurchases,NumWebPurchases,NumWebVisitsMonth,Complain,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Response,Qtd_Accepted,Accepted
2014-05-22,22,May,2014,25,1989,Master,Divorced,0,0,10979.0,914.9166666666666,lower than 1000,34,2,10,4,2,8,4,2,0,3,3,5,0,0,0,0,0,0,0,0,No
2013-05-11,11,May,2013,50,1963,Master,Together,0,0,38620.0,3218.3333333333335,between 3000 and 5000,56,34,44,17,22,112,89,1,5,3,2,3,0,0,0,0,0,0,0,0,No
2012-10-10,10,Oct,2012,42,1970,Graduation,Together,0,1,40548.0,3379.0,between 3000 and 5000,31,2,5,0,0,110,3,2,1,4,2,5,0,0,0,0,1,0,0,1,Yes
2012-10-29,29,Oct,2012,60,1952,PhD,Divorced,0,2,46610.0,3884.1666666666665,between 3000 and 5000,8,33,96,12,22,96,43,6,1,6,4,6,0,0,0,0,0,0,1,1,Yes
2013-02-20,20,Feb,2013,67,1946,Master,Married,0,0,68657.0,5721.416666666667,between 5000 and 7000,4,119,471,34,68,482,22,1,5,9,3,7,0,0,0,0,0,0,0,0,No
2013-08-29,29,Aug,2013,62,1951,Master,Single,1,1,49389.0,4115.75,between 3000 and 5000,55,2,19,0,1,40,3,1,0,3,2,7,0,0,0,0,0,0,0,0,No
2013-12-31,31,Dec,2013,43,1970,PhD,Married,0,1,67353.0,5612.75,between 5000 and 7000,37,0,151,17,8,702,35,5,6,12,5,2,0,0,0,0,0,0,0,0,No
2013-09-02,2,Sep,2013,37,1976,2n Cycle,Married,1,0,23718.0,1976.5,between 1000 and 3000,76,15,14,3,7,6,36,3,1,2,3,7,0,0,0,0,0,0,0,0,No
2014-02-11,11,Feb,2014,41,1973,Graduation,Widow,0,1,42429.0,3535.75,between 3000 and 5000,99,2,6,0,0,55,4,2,1,3,1,5,0,0,0,0,0,0,0,0,No
2013-02-01,1,Feb,2013,70,1943,PhD,Divorced,0,0,48948.0,4079.0,between 3000 and 5000,53,160,206,8,49,437,42,2,10,5,7,6,0,0,0,1,0,0,1,2,Yes
2013-04-29,29,Apr,2013,33,1980,Graduation,Married,0,1,80011.0,6667.583333333333,between 5000 and 7000,3,82,536,76,178,421,102,2,6,5,8,4,0,0,0,0,0,0,0,0,No
2013-03-12,12,Mar,2013,28,1985,Master,Married,1,0,20559.0,1713.25,between 1000 and 3000,88,3,29,1,0,13,7,2,0,3,2,8,0,0,0,0,0,0,0,0,No
2012-12-24,24,Dec,2012,55,1957,Graduation,Together,0,1,21994.0,1832.8333333333333,between 1000 and 3000,4,3,6,0,1,9,3,1,0,3,0,5,0,0,0,0,0,0,0,0,No
2013-10-02,2,Oct,2013,38,1975,Master,Married,1,0,7500.0,625.0,lower than 1000,19,3,10,1,2,3,12,3,0,3,2,5,0,0,0,0,0,0,0,0,No
2014-06-28,28,Jun,2014,38,1976,Graduation,Single,0,0,79941.0,6661.75,between 5000 and 7000,72,227,266,164,30,123,174,1,4,9,2,1,0,0,0,0,0,0,0,0,No
2012-11-09,9,Nov,2012,16,1996,2n Cycle,Married,0,0,7500.0,625.0,lower than 1000,24,15,14,18,22,3,50,3,1,3,3,9,0,0,0,0,0,0,1,1,Yes
2013-05-24,24,May,2013,45,1968,Graduation,Together,1,0,41728.0,3477.3333333333335,between 3000 and 5000,92,3,15,6,5,13,13,1,0,2,2,10,0,0,0,0,0,0,0,0,No
2012-11-08,8,Nov,2012,58,1954,PhD,Married,1,1,72550.0,6045.833333333333,between 5000 and 7000,39,50,317,50,38,826,38,9,2,12,5,8,0,0,0,0,0,0,0,0,No
2014-05-12,12,May,2014,57,1957,Graduation,Widow,0,1,65486.0,5457.166666666667,between 5000 and 7000,29,37,125,19,67,245,14,1,2,10,4,2,0,0,0,0,0,0,0,0,No
2012-08-11,11,Aug,2012,48,1964,Master,Married,0,0,79143.0,6595.25,between 5000 and 7000,2,27,780,37,167,650,32,1,9,13,6,3,0,0,0,0,0,0,0,0,No
2013-01-02,2,Jan,2013,36,1977,Graduation,Single,1,0,35790.0,2982.5,between 1000 and 3000,54,30,20,6,1,12,3,2,0,3,2,7,0,0,0,0,0,0,0,0,No
2014-06-07,7,Jun,2014,37,1977,Graduation,Divorced,0,0,82582.0,6881.833333333333,between 5000 and 7000,54,156,550,120,40,510,241,1,9,7,4,1,0,1,0,1,0,0,1,3,Yes
2013-06-12,12,Jun,2013,35,1978,Graduation,Married,1,1,66373.0,5531.083333333333,between 5000 and 7000,57,12,124,9,24,328,109,7,2,10,4,3,0,0,0,0,0,0,0,0,No
2012-11-19,19,Nov,2012,57,1955,Master,Together,0,0,82384.0,6865.333333333333,between 5000 and 7000,55,180,432,51,120,984,190,1,10,13,3,1,0,0,0,0,0,1,1,2,Yes
2013-04-02,2,Apr,2013,47,1966,Graduation,Divorced,0,0,70287.0,5857.25,between 5000 and 7000,30,121,482,35,120,295,40,1,5,10,5,3,0,0,0,0,0,0,1,1,Yes
2014-04-28,28,Apr,2014,26,1988,Graduation,Single,1,0,27938.0,2328.1666666666665,between 1000 and 3000,31,2,8,0,1,13,5,1,0,4,1,3,0,0,0,0,0,0,0,0,No
2014-03-03,3,Mar,2014,46,1968,PhD,Married,0,1,55954.0,4662.833333333333,between 3000 and 5000,63,0,28,0,0,447,43,3,2,6,8,7,0,0,0,0,0,0,0,0,No
2013-07-04,4,Jul,2013,31,1982,Master,Single,0,0,75777.0,6314.75,between 5000 and 7000,12,69,538,26,13,712,80,1,6,11,3,1,0,0,0,0,1,1,1,3,Yes
2012-09-07,7,Sep,2012,37,1975,Graduation,Together,1,1,66653.0,5554.416666666667,between 5000 and 7000,18,16,102,18,18,452,6,4,2,12,4,3,0,0,0,0,0,0,0,0,No
2013-02-18,18,Feb,2013,61,1952,Graduation,Single,0,1,61823.0,5151.916666666667,between 5000 and 7000,26,37,134,7,14,523,169,4,2,10,8,7,0,0,0,0,0,0,0,0,No
2013-06-11,11,Jun,2013,62,1951,PhD,Widow,0,1,67680.0,5640.0,between 5000 and 7000,8,0,48,0,6,546,6,1,3,8,7,5,0,0,0,0,0,0,0,0,No
2013-12-06,6,Dec,2013,65,1948,Graduation,Together,0,0,70666.0,5888.833333333333,between 5000 and 7000,29,119,367,40,122,398,30,1,4,4,7,4,0,0,0,0,0,0,0,0,No
2013-05-21,21,May,2013,42,1971,Graduation,Married,1,0,25721.0,2143.4166666666665,between 1000 and 3000,75,3,6,3,6,1,15,1,1,2,1,7,0,0,0,0,0,0,1,1,Yes
2014-05-11,11,May,2014,47,1967,Graduation,Together,1,1,32474.0,2706.1666666666665,between 1000 and 3000,0,0,1,0,0,10,0,1,0,2,1,7,0,0,0,0,0,0,0,0,No
2014-03-19,19,Mar,2014,35,1979,2n Cycle,Single,0,1,88194.0,7349.5,higher than 7000,19,201,309,14,24,688,38,1,10,10,11,5,0,1,0,1,0,0,1,3,Yes
2013-09-27,27,Sep,2013,55,1958,Graduation,Together,0,1,69096.0,5758.0,between 5000 and 7000,4,7,159,49,82,247,109,1,2,10,5,4,0,0,0,0,0,0,0,0,No
2013-04-08,8,Apr,2013,43,1970,Graduation,Together,1,2,74854.0,6237.833333333333,between 5000 and 7000,90,58,487,59,29,856,73,7,5,5,2,5,0,0,0,0,0,0,0,0,No
2012-09-11,11,Sep,2012,58,1954,Master,Married,0,0,66991.0,5582.583333333333,between 5000 and 7000,1,189,460,36,60,496,12,3,8,6,4,3,0,0,0,0,0,0,0,0,No
2013-03-17,17,Mar,2013,54,1959,Graduation,Married,0,1,65031.0,5419.25,between 5000 and 7000,29,84,291,107,37,258,86,4,3,13,10,7,0,0,0,0,0,0,0,0,No
2013-04-05,5,Apr,2013,38,1975,PhD,Married,1,1,60631.0,5052.583333333333,between 5000 and 7000,88,0,65,6,6,565,19,5,2,8,9,7,0,0,0,0,1,0,0,1,Yes
2014-04-30,30,Apr,2014,62,1952,Graduation,Married,0,0,28332.0,2361.0,between 1000 and 3000,58,4,13,10,15,14,9,1,1,4,2,2,0,0,0,0,0,0,0,0,No
2012-12-19,19,Dec,2012,35,1977,Graduation,Divorced,1,0,40246.0,3353.8333333333335,between 3000 and 5000,68,2,6,1,1,2,1,1,0,2,1,6,0,0,0,0,0,0,0,0,No
2012-08-27,27,Aug,2012,40,1972,Master,Married,0,0,75251.0,6270.916666666667,between 5000 and 7000,34,97,925,111,18,721,18,1,6,5,7,5,0,0,0,0,0,0,1,1,Yes
2012-10-12,12,Oct,2012,36,1976,Graduation,Single,0,0,75825.0,6318.75,between 5000 and 7000,40,137,779,105,105,1032,51,0,8,9,5,4,0,0,0,1,0,0,1,2,Yes
2013-09-04,4,Sep,2013,37,1976,2n Cycle,Together,0,0,26326.0,2193.8333333333335,between 1000 and 3000,12,0,5,0,3,1,9,1,0,3,0,3,1,0,0,0,0,0,0,0,No
2013-01-02,2,Jan,2013,48,1965,Graduation,Together,0,0,56046.0,4670.5,between 3000 and 5000,9,0,64,0,0,577,51,2,1,8,10,8,0,0,0,1,0,0,1,2,Yes
2012-08-29,29,Aug,2012,27,1985,Graduation,Single,1,0,29760.0,2480.0,between 1000 and 3000,87,7,68,4,5,64,17,4,1,4,3,8,0,0,0,0,0,0,0,0,No
2013-06-23,23,Jun,2013,44,1969,Graduation,Married,1,0,26304.0,2192.0,between 1000 and 3000,5,2,5,1,0,4,4,1,0,2,1,7,0,0,0,0,0,0,0,0,No
2013-07-03,3,Jul,2013,40,1973,2n Cycle,Married,1,0,23559.0,1963.25,between 1000 and 3000,87,7,19,5,0,25,23,3,0,3,3,7,0,0,0,0,0,0,0,0,No
2013-05-11,11,May,2013,50,1963,Master,Together,0,0,38620.0,3218.3333333333335,between 3000 and 5000,56,34,44,17,22,112,89,1,5,3,2,3,0,0,0,0,0,0,0,0,No
2014-02-25,25,Feb,2014,27,1987,Graduation,Divorced,0,0,81361.0,6780.083333333333,between 5000 and 7000,18,27,424,23,65,163,76,1,10,13,3,1,0,0,0,0,0,0,0,0,No
2013-08-11,11,Aug,2013,53,1960,Graduation,Married,1,1,29440.0,2453.3333333333335,between 1000 and 3000,95,10,14,8,4,17,3,2,0,4,1,7,0,0,0,0,0,0,0,0,No
2013-07-16,16,Jul,2013,43,1970,Master,Married,1,1,36138.0,3011.5,between 3000 and 5000,48,0,16,0,0,130,5,5,1,4,3,7,0,0,0,0,1,0,0,1,Yes
2014-05-28,28,May,2014,57,1957,Graduation,Single,0,1,50388.0,4199.0,between 3000 and 5000,3,0,37,6,3,292,34,4,1,6,6,7,0,1,0,0,1,0,1,3,Yes
2014-05-12,12,May,2014,41,1973,Graduation,Married,0,0,79593.0,6632.75,between 5000 and 7000,70,110,568,60,133,350,145,1,6,7,5,2,0,0,0,0,0,1,0,1,Yes
2014-01-21,21,Jan,2014,47,1967,Graduation,Together,0,1,54178.0,4514.833333333333,between 3000 and 5000,79,4,39,9,0,135,7,1,2,5,2,2,0,0,0,0,0,0,0,0,No
2014-03-23,23,Mar,2014,42,1972,Master,Single,1,0,42394.0,3532.8333333333335,between 3000 and 5000,69,0,10,2,1,15,4,1,0,3,1,7,0,0,0,0,0,0,0,0,No
2014-05-24,24,May,2014,44,1970,PhD,Married,1,0,23626.0,1968.8333333333333,between 1000 and 3000,84,0,14,2,0,27,0,3,1,3,3,5,0,0,0,0,0,0,0,0,No
2014-05-22,22,May,2014,31,1983,Graduation,Married,1,0,30096.0,2508.0,between 1000 and 3000,30,12,11,3,5,5,9,1,0,3,2,6,0,0,0,0,0,0,0,0,No
2012-11-22,22,Nov,2012,52,1960,Graduation,Widow,0,1,47916.0,3993.0,between 3000 and 5000,72,0,26,0,0,505,75,5,4,6,7,6,0,0,0,0,1,0,0,1,Yes
2013-04-11,11,Apr,2013,41,1972,Graduation,Divorced,1,1,51813.0,4317.75,between 3000 and 5000,37,0,7,2,1,51,2,2,0,3,2,7,0,0,0,0,0,0,0,0,No
2013-12-01,1,Dec,2013,62,1951,2n Cycle,Married,0,0,78497.0,6541.416666666667,between 5000 and 7000,44,75,447,26,0,207,223,1,7,12,5,2,0,1,0,0,0,0,0,1,Yes
2013-06-20,20,Jun,2013,30,1983,PhD,Married,0,0,50150.0,4179.166666666667,between 3000 and 5000,32,65,92,46,61,135,11,2,2,7,5,5,0,0,0,0,0,0,0,0,No
2013-07-23,23,Jul,2013,53,1960,2n Cycle,Single,0,1,47823.0,3985.25,between 3000 and 5000,0,2,5,1,1,53,10,2,0,3,2,8,0,0,0,0,0,0,0,0,No
2014-03-30,30,Mar,2014,55,1959,PhD,Single,0,1,34554.0,2879.5,between 1000 and 3000,43,2,6,1,0,41,5,2,0,3,2,6,0,0,0,0,0,0,0,0,No
2013-04-20,20,Apr,2013,34,1979,Graduation,Together,0,1,85693.0,7141.083333333333,higher than 7000,59,185,183,172,132,386,111,2,5,11,9,5,0,0,0,0,0,0,0,0,No
2013-05-17,17,May,2013,68,1945,PhD,Married,0,0,65846.0,5487.166666666667,between 5000 and 7000,68,80,276,81,40,562,81,1,3,6,6,4,0,0,0,0,0,0,0,0,No
2014-05-08,8,May,2014,55,1959,Graduation,Married,0,0,87195.0,7266.25,higher than 7000,35,50,690,76,26,217,38,1,11,5,3,1,0,0,0,0,0,0,1,1,Yes
2013-12-10,10,Dec,2013,34,1979,Basic,Together,1,0,24594.0,2049.5,between 1000 and 3000,94,10,6,3,0,1,9,1,0,3,1,5,0,0,0,0,0,0,0,0,No
2013-09-24,24,Sep,2013,49,1964,Graduation,Married,1,1,49096.0,4091.3333333333335,between 3000 and 5000,15,2,32,1,1,144,7,4,1,4,4,7,0,0,0,0,0,0,0,0,No
2013-02-02,2,Feb,2013,44,1969,Graduation,Married,0,2,52413.0,4367.75,between 3000 and 5000,56,75,271,106,98,295,65,4,4,12,6,6,0,0,0,0,0,0,0,0,No
2012-12-19,19,Dec,2012,34,1978,Graduation,Single,1,0,38557.0,3213.0833333333335,between 3000 and 5000,17,4,31,3,4,76,27,2,1,3,3,7,0,0,0,0,0,0,0,0,No
2012-12-07,7,Dec,2012,52,1960,Master,Married,0,0,89058.0,7421.5,higher than 7000,18,31,106,194,22,454,43,1,4,4,5,2,0,0,0,0,0,0,0,0,No
2013-11-02,2,Nov,2013,34,1979,Graduation,Together,0,1,77298.0,6441.5,between 5000 and 7000,46,23,292,115,35,425,79,1,6,11,6,3,0,0,0,0,0,0,0,0,No
2012-11-10,10,Nov,2012,21,1991,PhD,Single,0,0,68126.0,5677.166666666667,between 5000 and 7000,40,23,311,17,51,1332,86,1,4,5,7,9,0,0,0,0,1,0,1,2,Yes
2014-06-25,25,Jun,2014,51,1963,Master,Together,0,1,57288.0,4774.0,between 3000 and 5000,27,0,21,0,0,527,60,3,1,8,8,6,0,0,0,0,1,0,0,1,Yes
2013-01-02,2,Jan,2013,22,1991,Graduation,Single,0,0,86037.0,7169.75,higher than 7000,95,29,125,44,20,490,22,1,7,11,6,3,0,0,0,0,1,1,1,3,Yes
2012-12-12,12,Dec,2012,32,1980,PhD,Married,1,0,43974.0,3664.5,between 3000 and 5000,19,0,101,0,0,378,72,5,4,6,6,7,0,0,0,0,0,0,0,0,No
2013-09-10,10,Sep,2013,51,1962,Graduation,Single,1,1,50785.0,4232.083333333333,between 3000 and 5000,27,0,21,1,1,64,27,2,1,3,2,6,0,0,0,0,0,0,0,0,No
2014-01-24,24,Jan,2014,44,1970,Graduation,Married,0,0,90765.0,7563.75,higher than 7000,25,151,812,99,82,547,33,0,6,5,4,1,0,1,0,0,0,1,0,2,Yes
2013-02-19,19,Feb,2013,35,1978,2n Cycle,Married,1,0,36550.0,3045.8333333333335,between 3000 and 5000,74,123,94,90,103,47,120,5,1,5,9,9,0,0,0,0,0,0,0,0,No
2013-07-11,11,Jul,2013,46,1967,2n Cycle,Together,1,1,30753.0,2562.75,between 1000 and 3000,85,0,25,5,9,12,30,2,1,3,1,5,0,0,0,0,0,0,0,0,No
2013-11-14,14,Nov,2013,44,1969,Graduation,Together,1,0,21918.0,1826.5,between 1000 and 3000,37,11,7,6,5,1,3,2,0,3,2,6,0,0,0,0,0,0,0,0,No
2013-06-20,20,Jun,2013,60,1953,Master,Together,0,1,56129.0,4677.416666666667,between 3000 and 5000,65,39,133,48,72,320,48,4,2,10,6,4,0,0,0,0,0,0,0,0,No
2014-02-24,24,Feb,2014,47,1967,Master,Single,1,0,32557.0,2713.0833333333335,between 1000 and 3000,13,0,29,3,4,34,10,3,1,3,2,5,0,0,0,0,0,0,1,1,Yes
2013-09-04,4,Sep,2013,28,1985,Master,Married,2,0,19510.0,1625.8333333333333,between 1000 and 3000,63,3,7,0,4,9,7,2,0,3,1,7,0,0,0,0,0,0,0,0,No
2013-04-22,22,Apr,2013,37,1976,Graduation,Divorced,1,0,30992.0,2582.6666666666665,between 1000 and 3000,83,7,14,0,3,17,2,1,0,3,1,7,0,0,0,0,0,0,0,0,No
2013-03-12,12,Mar,2013,30,1983,Graduation,Single,0,0,101970.0,8497.5,higher than 7000,69,44,102,27,72,722,168,0,8,13,6,2,0,1,0,0,1,1,1,4,Yes
2013-02-18,18,Feb,2013,48,1965,2n Cycle,Together,0,0,71488.0,5957.333333333333,between 5000 and 7000,87,40,124,33,28,162,172,2,4,7,3,1,0,0,0,0,0,0,0,0,No
2013-04-21,21,Apr,2013,29,1984,Graduation,Single,0,0,79607.0,6633.916666666667,between 5000 and 7000,37,173,951,133,0,450,216,1,6,6,3,1,0,0,0,0,0,0,1,1,Yes
2014-06-08,8,Jun,2014,61,1953,Master,Married,1,1,54348.0,4529.0,between 3000 and 5000,51,0,16,0,0,70,4,2,0,4,2,6,0,0,0,0,0,0,0,0,No
2014-05-10,10,May,2014,58,1956,PhD,Together,1,1,77376.0,6448.0,between 5000 and 7000,72,16,110,19,12,492,12,4,3,10,6,4,0,0,0,0,0,0,0,0,No
2013-09-30,30,Sep,2013,61,1952,Graduation,Married,0,1,62998.0,5249.833333333333,between 5000 and 7000,10,65,73,58,89,120,58,5,4,5,5,5,0,0,0,0,0,0,0,0,No
2013-03-10,10,Mar,2013,55,1958,Master,Alone,1,1,61331.0,5110.916666666667,between 5000 and 7000,42,0,47,5,5,534,41,5,1,6,11,8,0,0,0,0,0,0,0,0,No
2014-02-10,10,Feb,2014,45,1969,Graduation,Married,0,0,73448.0,6120.666666666667,between 5000 and 7000,10,23,189,106,41,236,130,1,2,9,7,4,0,0,0,0,0,0,0,0,No
2013-08-14,14,Aug,2013,49,1964,PhD,Married,1,1,41551.0,3462.5833333333335,between 3000 and 5000,51,3,33,0,0,220,23,5,1,5,5,8,0,0,0,0,0,0,0,0,No
2013-03-17,17,Mar,2013,46,1967,PhD,Together,0,0,62981.0,5248.416666666667,between 5000 and 7000,21,38,590,14,44,796,0,1,5,13,4,3,0,0,0,0,1,0,0,1,Yes
2012-08-08,8,Aug,2012,36,1976,Basic,Divorced,1,0,9548.0,795.6666666666666,lower than 1000,31,10,3,1,6,0,9,2,0,3,1,8,0,0,0,0,0,0,0,0,No
2013-07-07,7,Jul,2013,54,1959,PhD,Married,2,1,33762.0,2813.5,between 1000 and 3000,61,2,34,1,0,53,16,3,2,2,2,8,0,0,0,0,0,0,0,0,No
2014-05-19,19,May,2014,41,1973,PhD,Alone,1,1,35860.0,2988.3333333333335,between 1000 and 3000,37,4,8,0,2,15,20,2,1,2,1,5,0,0,0,1,0,0,1,2,Yes
2013-07-28,28,Jul,2013,48,1965,PhD,Divorced,1,1,36921.0,3076.75,between 3000 and 5000,74,3,12,1,1,17,4,2,0,3,2,7,0,0,0,0,0,0,0,0,No
2012-10-19,19,Oct,2012,20,1992,Master,Single,0,0,92859.0,7738.25,higher than 7000,46,52,921,61,61,962,20,1,4,12,5,2,0,0,0,0,0,0,0,0,No
2013-11-14,14,Nov,2013,37,1976,Master,Together,0,1,65104.0,5425.333333333333,between 5000 and 7000,4,13,232,0,20,738,50,2,5,7,3,7,0,0,0,0,0,0,1,1,Yes
2013-04-19,19,Apr,2013,51,1962,Graduation,Married,0,0,86111.0,7175.916666666667,higher than 7000,73,36,756,28,40,399,126,1,7,10,5,2,0,0,0,0,0,0,0,0,No
2013-08-28,28,Aug,2013,39,1974,PhD,Single,0,1,68352.0,5696.0,between 5000 and 7000,47,43,132,16,33,614,33,3,5,9,8,6,0,0,0,0,0,0,0,0,No
2013-03-19,19,Mar,2013,25,1988,Graduation,Together,1,0,41883.0,3490.25,between 3000 and 5000,13,73,41,34,16,32,116,3,2,3,4,7,0,0,0,0,0,0,0,0,No
2012-10-18,18,Oct,2012,36,1976,Graduation,Married,0,2,59809.0,4984.083333333333,between 3000 and 5000,36,32,141,16,41,598,49,3,3,6,3,8,0,0,0,0,0,0,0,0,No
2012-10-28,28,Oct,2012,37,1975,Graduation,Married,1,0,23957.0,1996.4166666666667,between 1000 and 3000,47,20,18,1,11,2,16,1,0,3,2,6,0,0,0,0,0,0,1,1,Yes
2013-08-28,28,Aug,2013,32,1981,Graduation,Together,1,0,38547.0,3212.25,between 3000 and 5000,49,0,10,1,1,6,4,1,0,2,1,8,1,0,0,0,0,0,0,0,No
2012-08-22,22,Aug,2012,39,1973,2n Cycle,Married,2,1,35688.0,2974.0,between 1000 and 3000,94,12,90,3,1,73,32,7,1,4,4,8,0,0,0,0,0,0,0,0,No
2014-06-21,21,Jun,2014,48,1966,Master,Married,0,0,49605.0,4133.75,between 3000 and 5000,65,12,29,16,20,42,8,1,1,4,2,3,0,0,0,0,0,0,0,0,No
